=== Application started at 2026-06-08 11:19:54.211434 ===
[2026-06-08 11:20:23] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:23] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:24] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:24] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:24] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:24] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
[2026-06-08 11:20:24] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:24] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:24] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:24] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:25] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:25] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:25] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:25] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
[2026-06-08 11:20:25] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:25] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:21:50] [INFO] IMAGE_UPLOAD | name='1-BSE-1k-T1.bmp', size=0x0, file_size=4.69MB
[2026-06-08 11:21:50] [DEBUG] SCALE_DETECTION | image='1-BSE-1k-T1.bmp', attempting auto-detection...
[2026-06-08 11:21:54] [INFO] SCALE_DETECTION | image='1-BSE-1k-T1.bmp', scale=0.0496031746031746, detected_text='50.0pm'
[2026-06-08 11:21:56] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:21:56] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:21:56] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:21:56] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:21:57] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', model config loaded: 🦠 Bacillus
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', classes: ['bg', 'biofilm', 'intermediate', 'single']
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checkpoint path: C:\Users\Victory\YandexDisk\PROJECTS\bf-analyzer\model\bacillus.pth
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking scale detection...
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', scale already set: 0.0496031746031746 μm/px
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', preparing segmentation parameters...
[2026-06-08 11:21:57] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', parameters: INFLINEPX=118, width=2560, height=1920, threshold=0.5
[2026-06-08 11:21:57] [INFO] SEGMENTATION | image='1-BSE-1k-T1.bmp', starting segmentationImage...
[2026-06-08 11:25:01] [INFO] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentationImage completed in 184.53 seconds
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', processed mask classes: ['biofilm', 'intermediate', 'single', 'bg']
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', class 'biofilm': 4 objects detected
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', class 'intermediate': 7 objects detected
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', class 'single': 54 objects detected
[2026-06-08 11:25:01] [INFO] SEGMENTATION | image='1-BSE-1k-T1.bmp', total objects detected: 65
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', saving segmentation results...
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', predictedObjects saved to state
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', preparing object information...
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', objects info prepared. Classes: ['biofilm', 'intermediate', 'single']
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', area statistics:
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION |   - biofilm: min=31717, max=704394
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION |   - intermediate: min=1835, max=3237
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION |   - single: min=554, max=5274
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', updating statistics and applying filtration...
[2026-06-08 11:25:01] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', filtration applied successfully
[2026-06-08 11:25:02] [INFO] SEGMENTATION | image='1-BSE-1k-T1.bmp', objects after filtration: 65
[2026-06-08 11:25:02] [SUCCESS] SEGMENTATION_COMPLETE | image='1-BSE-1k-T1.bmp', objects=65, time=184.53s, model='Bacillus'
[2026-06-08 11:25:02] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to False
[2026-06-08 11:25:02] [INFO] SEGMENTATION | image='1-BSE-1k-T1.bmp', total execution time: 184.53 seconds
[2026-06-08 11:25:02] [DEBUG] FILTRATION | image='1-BSE-1k-T1.bmp', updating filtration params from UI
[2026-06-08 11:25:02] [INFO] FILTRATION | image='1-BSE-1k-T1.bmp', filtration applied
[2026-06-08 11:25:03] [DEBUG] EXPORT_PREPARE | image='1-BSE-1k-T1.bmp', preparing CVAT backup...
[2026-06-08 11:25:04] [INFO] EXPORT | image='1-BSE-1k-T1.bmp', type='CVAT_backup', size=3999.88KB
[2026-06-08 11:25:04] [DEBUG] EXPORT_PREPARE | image='1-BSE-1k-T1.bmp', preparing Results zip...
[2026-06-08 11:25:08] [INFO] EXPORT | image='1-BSE-1k-T1.bmp', type='Results', size=4739.58KB
[2026-06-08 11:25:08] [INFO] EXPORT_PREPARE | image='1-BSE-1k-T1.bmp', export data ready
[2026-06-08 11:27:57] [INFO] IMAGE_UPLOAD | name='S.h. chlorgek 2d(x1.0k)_3065.bmp', size=0x0, file_size=4.69MB
[2026-06-08 11:27:57] [DEBUG] SCALE_DETECTION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', attempting auto-detection...
[2026-06-08 11:28:00] [INFO] SCALE_DETECTION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', scale=0.0496031746031746, detected_text='50.0pm'
[2026-06-08 11:28:05] [DEBUG] FILE_UPLOAD | File 'S.h. chlorgek 2d(x1.0k)_3065.bmp' already loaded, skipping
[2026-06-08 11:28:07] [INFO] SEGMENTATION_START | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', model='Coccus_no10imgs', scale=0.0496031746031746
[2026-06-08 11:28:07] [DEBUG] MEMORY_CLEANUP | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', starting memory cleanup
[2026-06-08 11:28:07] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:28:07] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:28:07] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', checking model configuration...
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', model config loaded: Coccus_no10imgs
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', classes: ['background', 'biofilm', 'planktonic']
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', checkpoint path: C:\Users\Victory\YandexDisk\PROJECTS\bf-analyzer\model\coccus_no10imgs_epoch500.pth
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', checking scale detection...
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', scale already set: 0.0496031746031746 μm/px
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', preparing segmentation parameters...
[2026-06-08 11:28:07] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', parameters: INFLINEPX=118, width=2560, height=1920, threshold=0.5
[2026-06-08 11:28:07] [INFO] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', starting segmentationImage...
[2026-06-08 11:29:20] [INFO] IMAGE_UPLOAD | name='S.h. chlorgek 2d(x1.0k)_3065.bmp', size=0x0, file_size=4.69MB
[2026-06-08 11:29:20] [DEBUG] SCALE_DETECTION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', attempting auto-detection...
[2026-06-08 11:29:24] [INFO] SCALE_DETECTION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', scale=0.0496031746031746, detected_text='50.0pm'
[2026-06-08 11:29:31] [DEBUG] FILE_UPLOAD | File 'S.h. chlorgek 2d(x1.0k)_3065.bmp' already loaded, skipping
[2026-06-08 11:29:32] [INFO] SEGMENTATION_START | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', model='Coccus_no10imgs', scale=0.0496031746031746
[2026-06-08 11:29:32] [DEBUG] MEMORY_CLEANUP | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', starting memory cleanup
[2026-06-08 11:29:32] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:29:32] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:29:32] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', checking model configuration...
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', model config loaded: Coccus_no10imgs
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', classes: ['background', 'biofilm', 'planktonic']
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', checkpoint path: C:\Users\Victory\YandexDisk\PROJECTS\bf-analyzer\model\coccus_no10imgs_epoch500.pth
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', checking scale detection...
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', scale already set: 0.0496031746031746 μm/px
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', preparing segmentation parameters...
[2026-06-08 11:29:32] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', parameters: INFLINEPX=118, width=2560, height=1920, threshold=0.5
[2026-06-08 11:29:32] [INFO] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', starting segmentationImage...
[2026-06-08 11:32:40] [INFO] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', segmentationImage completed in 187.73 seconds
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', processed mask classes: ['biofilm', 'planktonic', 'background']
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', class 'biofilm': 7 objects detected
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', class 'planktonic': 31 objects detected
[2026-06-08 11:32:40] [INFO] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', total objects detected: 38
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', saving segmentation results...
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', predictedObjects saved to state
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', preparing object information...
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', objects info prepared. Classes: ['biofilm', 'planktonic']
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', area statistics:
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION |   - biofilm: min=20120, max=668715
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION |   - planktonic: min=268, max=27025
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', updating statistics and applying filtration...
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', filtration applied successfully
[2026-06-08 11:32:40] [INFO] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', objects after filtration: 38
[2026-06-08 11:32:40] [SUCCESS] SEGMENTATION_COMPLETE | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', objects=38, time=187.73s, model='Coccus_no10imgs'
[2026-06-08 11:32:40] [DEBUG] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', segmentation_in_progress flag set to False
[2026-06-08 11:32:40] [INFO] SEGMENTATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', total execution time: 187.73 seconds
[2026-06-08 11:32:41] [DEBUG] FILTRATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', updating filtration params from UI
[2026-06-08 11:32:41] [INFO] FILTRATION | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', filtration applied
[2026-06-08 11:32:41] [DEBUG] EXPORT_PREPARE | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', preparing CVAT backup...
[2026-06-08 11:32:43] [INFO] EXPORT | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', type='CVAT_backup', size=3767.58KB
[2026-06-08 11:32:43] [DEBUG] EXPORT_PREPARE | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', preparing Results zip...
[2026-06-08 11:32:46] [INFO] EXPORT | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', type='Results', size=5210.66KB
[2026-06-08 11:32:46] [INFO] EXPORT_PREPARE | image='S.h. chlorgek 2d(x1.0k)_3065.bmp', export data ready
[2026-06-11 16:30:19] [INFO] IMAGE_UPLOAD | name='1-BSE-1k-T1.bmp', size=0x0, file_size=4.69MB
[2026-06-11 16:30:19] [DEBUG] SCALE_DETECTION | image='1-BSE-1k-T1.bmp', attempting auto-detection...
